Прізвище,Ім’я По-батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Даньків,Галина Дмитрівна,Жіноча,1963-10-08,Льотчик,селище Кіцмань,"вулиця Марсельська, буд. 740, Снятин, 98287",887-16-61,volodymyrvatamaniuk@example.org
Дурдинець,Віктор Тарасович,Чоловіча,1996-04-11,Етнограф,селище Саки,"шосе Олександра Богомольця, буд. 82 кв. 1, Волноваха, 75631",+380 99 027-33-19,frankostepan@example.net
Козак,Аврелій Дмитрович,Чоловіча,1986-04-27,Інженер,хутір Бурштин,"шосе Бориса Кифоренка, буд. 238, Ходорів, 40107",+380 20 899 31 46,xsaienko@example.com
Кабаненко,Демʼян Миколайович,Чоловіча,1978-08-23,Патологоанатом,село Київ,"вулиця Деревообробний 5-й, буд. 02 кв. 9, Черкаси, 73526",+380 95 533-77-70,aaronhuzii@example.com
Бандура,Олесь Георгійович,Чоловіча,1940-02-13,Продюсер,село Миколаївка,"сквер Рельєфна, буд. 2 кв. 91, Тиврів, 02235",684-09-32,ruslan73@example.net
Опанасенко,Святослав Ігорович,Чоловіча,1969-05-24,Вчитель,хутір Енергодар,"проспект Чорноморський 4-й, буд. 14 кв. 024, Судак, 94191",+380 36 554-38-98,alevtyn33@example.org
Баштан,Герман Тарасович,Чоловіча,1983-02-22,Економіст,село Андрушівка,"провулок Чорноморка, буд. 2, Кременець, 59703",060 433 09 23,dankivvasylyna@example.net
Безбородько,Богуслав Петрович,Чоловіча,1984-01-08,Графік,місто Петрово-Красносілля,"узвіз Іспанська, буд. 13, Переяслав, 98611",+380 32 370 09 08,avhustynshylo@example.net
Джунь,Геннадій Артемович,Чоловіча,1951-11-07,Паралегал,село Щастя,"парк Восьмого березня 8-й, буд. 23 кв. 782, Антрацит, 99095",729 99 32,havryshkhrystyna@example.org
Хомик,Любов Тарасівна,Жіноча,1947-01-30,Стиліст,місто Білозерське,"узвіз Аркадійська, буд. 1, Ірпінь, 44783",+380 53 003-77-20,khomenkoles@example.com
Москаль,Лесь Андрійович,Чоловіча,1960-11-21,Електротехнік,село Євпаторія,"парк Санітарна, буд. 2, Прип'ять, 17644",+380 52 301-77-54,ureva@example.com
Терещенко,Прохір Дмитрович,Чоловіча,1987-01-28,Перекладач,хутір Нововолинськ,"шосе Шептицького, буд. 65 кв. 27, Баранівка, 63682",003 421 34 97,stepantychyna@example.com
Бандурка,Євген Георгійович,Чоловіча,1949-08-25,Єгер,селище Славута,"сквер Проектований 4-й, буд. 735, Зимогір'я, 85233",+380 49 220-13-43,ielysei17@example.net
Оніщук,Мілена Павлівна,Жіноча,1959-07-08,Музикант,селище Валки,"парк Петра Біциллі, буд. 4 кв. 02, Антрацит, 70751",+380 50 728 48 22,artem90@example.com
Вітер,Демʼян Петрович,Чоловіча,2004-05-29,Фізик,селище Перечин,"парк Каретний, буд. 907 кв. 48, Докучаєвськ, 62762",+380 38 814 11 55,liashkovadym@example.net
Уманець,Дан Юрійович,Чоловіча,1968-06-04,Режисер,село Алупка,"парк Віктора Скаржинського узвіз, буд. 266, Бахмут, 06441",+380 54 840-88-71,danzabila@example.com
Гайденко,Зиновій Іванович,Чоловіча,1966-11-19,Стропальник,селище Тлумач,"узвіз Горіхова, буд. 781, Тиврів, 52548",+380 61 977-62-24,ilienkomykyta@example.net
Іщенко,Тетяна Ігорівна,Жіноча,1938-11-07,Гицель,село Кілія,"провулок Миколи Міхновського, буд. 464 кв. 797, Чорноморськ, 70022",+380 54 676-82-90,ghabelko@example.net
Базилевич,Анжела Степанівна,Жіноча,1964-10-09,Бізнесмен,селище Біла Церква,"сквер Західний 1-й, буд. 67, Ладижин, 86575",+380 64 235-60-91,shcherbakorysia@example.org
Деревʼянко,Олесь Іванович,Чоловіча,1984-11-10,Археолог,селище Волноваха,"провулок Степана Олійника узвіз, буд. 353 кв. 2, Корюківка, 91686",+380 (22) 576-81-24,osyrotenko@example.com
Гречко,Богданна Павлівна,Жіноча,1944-05-25,Маркетолог,селище Рахів,"провулок Лінія 47-ма, буд. 3, Ужгород, 58601",008 757 25 11,leon51@example.org
Талан,Зиновій Андрійович,Чоловіча,1952-12-13,Головний меркшейдер,селище Щолкіне,"площа Пілотна, буд. 68, Остер, 10540",029 602 73 17,priabets@example.com
Лисенко,Дмитро Богданович,Чоловіча,1950-09-08,Фрілансер,село Шпола,"узвіз Отонівський, буд. 3, Добропілля, 15391",780 14 97,babychlukian@example.net
Фесенко,Охрім Іванович,Чоловіча,1943-04-29,Прокурор,місто Кривий Ріг,"парк Бодаревського, буд. 76 кв. 01, Чигирин, 97027",724 51 33,bevzenkosemen@example.net
Сиротенко,Едита Вікторівна,Жіноча,1961-01-12,Стропальник,місто Зимогір'я,"площа 1-й Академічний тупик, буд. 326, Чуднів, 27189",080 477-35-76,illia31@example.com
Полтавець,Назар Степанович,Чоловіча,1942-02-02,Бухгалтер,селище Пологи,"сквер Гілельса, буд. 771, Ржищів, 44105",008 018-21-99,albinaabramchuk@example.net
Гузенко,Ігнат Юрійович,Чоловіча,1963-05-18,Пілот,селище Кам'янець-Подільський,"шосе Скидановський узвіз, буд. 71 кв. 393, Нововолинськ, 08531",090 188-98-09,jchubai@example.net
Адаменко,Єва Володимирівна,Жіноча,1974-01-01,Філолог,хутір Бердичів,"проспект Хутірська, буд. 988, Овруч, 46290",013 735 82 42,pilchenko@example.com
Онищенко,Ігор Тарасович,Чоловіча,1997-01-06,Швачка,хутір Євпаторія,"парк Опішнянський, буд. 614, Мала Виска, 41279",038 272 74 28,davyd35@example.net
Чміль,Анжела Романівна,Жіноча,1943-01-04,Медик,селище Хмельницький,"проспект Різдвяна, буд. 3, Вишневе, 67428",078 023-11-98,danylenkolevko@example.com
Дурдинець,Амалія Петрівна,Жіноча,1950-05-08,Вчитель,місто Амвросіївка,"набережна Дмитра Сигаревича, буд. 69, Чуднів, 54355",028 716 66 32,dzakharenko@example.net
Затула,Хома Петрович,Чоловіча,1960-07-15,Штукатур,хутір Самбір,"узвіз Валерія Самофалова, буд. 76, Селидове, 34796",+380 29 275-05-37,leontiivyshyvana@example.com
Лесик,Павло Васильович,Чоловіча,1955-08-16,Письменник,село Соснівка,"вулиця Старобазарний, буд. 2, Зміїв, 90493",+380 87 605 95 68,eshyian@example.com
Їжакевич,Юстим Ігорович,Чоловіча,2001-02-24,Дизайнер,місто Чигирин,"узвіз Олександра Станкова, буд. 7, Городище, 30023",124-09-06,makarenkospas@example.org
Акуленко,Августин Ярославович,Чоловіча,1995-12-25,Єгер,селище Чуднів,"набережна Морська, буд. 972 кв. 3, Синельникове, 69891",+380 58 062 84 34,vashchenkofeofan@example.org
Нестайко,Станіслав Олександрович,Чоловіча,1961-07-10,Штукатур,селище Косів,"площа Зої Бутенко, буд. 724, Миколаївка, 11417",067 115-68-83,korobets@example.net
Яценко,Левко Вікторович,Чоловіча,1982-08-04,Соціолог,селище Привілля,"сквер Лиманчик 2-й Лінія 8-ма, буд. 108 кв. 8, Кам'янське, 78333",001 758 14 79,goliashdanylo@example.net
Усик,Вʼячеслав Богданович,Чоловіча,1999-01-12,Художник,хутір Таврійськ,"сквер Манежний, буд. 90 кв. 40, Перевальськ, 14986",+380 73 201 75 32,nataliiaatamanchuk@example.net
Архимович,Онисим Богданович,Чоловіча,2007-08-24,Круп'є,місто Шпола,"сквер Госпітальний, буд. 61, Скадовськ, 64404",+380 (03) 978-28-91,albertkybkalo@example.org
Лубенець,Вʼячеслав Іванович,Чоловіча,1975-12-22,Фрілансер,селище Курахове,"шосе Ремонтна, буд. 7, Шепетівка, 41953",+380 (29) 521-60-69,irynababiichuk@example.com
Ільєнко,Алла Миколаївна,Жіноча,1967-07-18,Фізик,хутір Українськ,"проспект Дальницька, буд. 1, Скадовськ, 29250",911 54 14,opanas25@example.com
Абрамчук,Мілена Романівна,Жіноча,1946-08-13,Музикознавець,село Вінниця,"шосе Баринштейна, буд. 1 кв. 6, Каховка, 21221",+380 75 521-38-29,galaganiosyp@example.net
Гайдабура,Ольга Василівна,Жіноча,1955-09-10,Льотчик,хутір Коломия,"парк Нафтовиків 3-й, буд. 009 кв. 119, Сторожинець, 54302",476-74-82,lgereta@example.net
Приходько,Дарина Романівна,Жіноча,1986-04-24,Науковець,хутір Скалат,"площа Іванівський переїзд, буд. 0, Буча, 83290",+380 56 230-54-36,dhodunok@example.net
Колесниченко,Данило Андрійович,Чоловіча,1987-01-03,Редактор,місто Здолбунів,"провулок Чорноморський 8-й, буд. 84 кв. 0, Коростень, 89034",+380 20 202-28-93,divashchenko@example.com
Ємець,Святослава Володимирівна,Жіноча,1973-09-26,Євнух,селище Святогірськ,"площа Керченський 3-й, буд. 0 кв. 9, Оріхів, 97989",+380 21 608-10-46,mykolaibarannyk@example.com
Єрошенко,Амвросій Іванович,Чоловіча,1970-02-02,Намотувальник,село Деражня,"узвіз Дюківська, буд. 40, Коростишів, 60923",+380 01 937 69 27,wvdovychenko@example.org
Бабенко,Орест Васильович,Чоловіча,1945-03-04,Сантехнік,селище Львів,"парк Добровольців, буд. 204 кв. 8, Березне, 66164",+380 (25) 263-04-73,feofan00@example.com
Ісаєнко,Орест Богданович,Чоловіча,1981-08-25,Кушнір,селище Жданівка,"набережна Нечипуренка, буд. 0 кв. 47, Ічня, 07322",030 641-55-08,orysiaholoborodko@example.org
Оробець,Гаврило Ігорович,Чоловіча,1990-08-07,Кінолог,село Буринь,"парк Зоопаркова, буд. 759 кв. 623, Полонне, 53596",264-77-11,anzhela87@example.org
Давимука,Анастасія Василівна,Жіноча,1951-05-31,Палеонтолог,селище Міусинськ,"проспект Басейний 1-й, буд. 431, Кальміуське, 15673",+380 98 820-53-92,vernyhorasemen@example.org
Охріменко,Євген Іванович,Чоловіча,1997-10-14,Кушнір,місто Перечин,"провулок Лінія 54-та, буд. 493, Нове Давидково, 13181",709-51-99,andreikopavlo@example.net
Щириця,Аліна Василівна,Жіноча,1974-02-27,Футболіст,село Долина,"сквер Пересипська 5-та, буд. 54 кв. 245, Броди, 56245",+380 94 225 44 87,prokhirskyba@example.net
Баштан,Юстина Павлівна,Жіноча,1967-06-04,Секретар,місто Біла Церква,"сквер Проценка, буд. 61 кв. 19, Ківерці, 08631",803 36 06,baklandmytro@example.net
Малик,Максим Іванович,Чоловіча,2005-01-07,Програміст,хутір Зіньків,"набережна Квантовий, буд. 49, Вільнянськ, 99067",+380 52 074-44-13,mdatsenko@example.com
Шелест,Святослава Андріївна,Жіноча,1984-08-31,Режисер,селище Решетилівка,"узвіз Василя Кандинського 1-й, буд. 248, Тячів, 33096",668 04 37,vakarchukiosyp@example.com
Кальченко,Михайлина Петрівна,Жіноча,2002-10-09,Дерун,місто Сорокине,"шосе Аграрна, буд. 378, Мерефа, 76731",038 862 48 66,zakharbabenko@example.com
Бабʼяк,Ірена Сергіївна,Жіноча,1950-11-09,Режисер,місто Покровськ,"сквер Балтська дорога, буд. 66 кв. 7, Устилуг, 83906",+380 39 876 97 61,stepan47@example.com
Зарудна,Макар Георгійович,Чоловіча,1980-04-09,Конструктор,хутір Бердичів,"провулок Олександра Кутузакія, буд. 8, Христинівка, 96316",+380 13 939-43-26,yriaboshapka@example.org
Аронець,Олесь Павлович,Чоловіча,1998-07-09,Фотограф,село Нововолинськ,"сквер Бориса Літвака, буд. 37 кв. 858, Чуднів, 10467",079 470 37 54,iashchukstanislav@example.net
Андрійович,Віра Дмитрівна,Жіноча,1988-12-11,Композитор,хутір Могилів-Подільський,"площа Бокаріуса, буд. 8 кв. 087, Нове Давидково, 63800",+380 69 883-79-77,odarka89@example.com
Швайка,Мартин Павлович,Чоловіча,1987-05-11,Гірник,хутір Кролевець,"парк Танкерна, буд. 140, Гайсин, 11530",001 728 34 89,mykolai71@example.net
Гриценко,Любов Олександрівна,Жіноча,1956-06-22,Різноробочий,селище Лохвиця,"сквер Василя Кандинського 5-й, буд. 80 кв. 29, Яворів, 43489",079 273-12-75,kovpakdaryna@example.com
Дзюба,Ярина Юріївна,Жіноча,1954-05-24,Мікробіолог,село Генічеськ,"проспект Парусна, буд. 5, Новий Калинів, 15619",+380 (47) 072-96-22,iaremenkoiosyp@example.net
Франчук,Алла Степанівна,Жіноча,1978-07-08,Бібліограф,селище Городенка,"площа Балтський 3-й, буд. 898 кв. 7, Зугрес, 56392",288-02-61,ntsarenko@example.com
Романчук,Єва Дмитрівна,Жіноча,1944-02-22,Каскадер,селище Арциз,"вулиця Шампанський, буд. 0 кв. 242, Арциз, 82630",+380 (91) 421-43-37,vdovenkodanylo@example.org
Фесенко,Анастасія Миколаївна,Жіноча,1988-05-29,Дипломат,село Нова Одеса,"узвіз Отамана Головатого, буд. 559, Бурштин, 51086",518 09 68,davyd16@example.com
Величко,Арсен Олександрович,Чоловіча,1981-02-09,Гінеколог,хутір Заставна,"сквер 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 720, Коростень, 64196",793-35-32,iakivmykhaliuk@example.org
Теличенко,Аніта Артемівна,Жіноча,1952-06-11,Бібліотекар,селище Інкерман,"набережна Пилипа Орлика, буд. 04 кв. 0, Верхньодніпровськ, 71562",+380 13 947 04 12,iatamanchuk@example.net
Мамчур,Дан Петрович,Чоловіча,1971-02-22,Машиніст,місто Лубни,"узвіз Решата Аметова, буд. 848, Горлівка, 10409",+380 98 230-89-82,xtsybulenko@example.net
Єфименко,Михайло Степанович,Чоловіча,1980-09-25,Піаніст,місто Хмельницький,"парк Армійська, буд. 9 кв. 22, Валки, 83922",899 45 75,halyna58@example.net
Забіла,Варвара Дмитрівна,Жіноча,1992-03-12,Гірник,село Люботин,"сквер Олени Теліги, буд. 72, Косів, 06579",+380 54 039 61 19,vovkavhustyn@example.org
Свириденко,Соломія Дмитрівна,Жіноча,1975-01-11,Епідеміолог,хутір Зеленодольськ,"парк Мерло, буд. 35 кв. 42, Кодима, 54676",+380 75 909-81-00,hannahavrysh@example.org
Сімашкевич,Юстим Тарасович,Чоловіча,1954-12-06,Художник,хутір Хмельницький,"набережна Хотинський, буд. 665 кв. 12, Горлівка, 01387",026 748 27 57,lazarenkookhrim@example.com
Туркало,Дмитро Петрович,Чоловіча,1992-08-26,Мікробіолог,село Обухів,"сквер Сімферопольська, буд. 75, Бурштин, 76426",+380 (91) 575-71-76,miaremchuk@example.com
Чайка,Пріска Олександрівна,Жіноча,1978-10-27,Продюсер,село Моршин,"вулиця Ананьївська, буд. 6, Вараш, 18226",+380 (69) 794-50-71,zorian31@example.com
Бевзенко,Адам Богданович,Чоловіча,2004-06-02,Шериф,місто Хмельницький,"шосе Слави, буд. 7 кв. 61, Кобеляки, 58679",+380 15 808-54-27,gvasylechko@example.net
Даниленко,Марія Богданівна,Жіноча,1981-09-10,Географ,село Бровари,"сквер 1-ша Лінія Марії Демченко, буд. 74, Баштанка, 59435",+380 35 615-13-76,sviatoslav06@example.com
Копитко,Соломія Андріївна,Жіноча,1963-10-22,Кур'єр,хутір Снятин,"парк Трамвайний, буд. 494 кв. 65, Узин, 22383",+380 93 639 84 98,nestoriemets@example.com
Артим,Лесь Ярославович,Чоловіча,1939-06-29,Вчитель,місто Винники,"шосе Кавунова, буд. 22, Родинське, 76373",+380 51 148-67-82,mykolaiiakovenko@example.org
Шаповал,Орест Павлович,Чоловіча,1977-07-14,Ді-джей,селище Подільськ,"площа Юрія Олеші, буд. 652 кв. 51, Київ, 47649",368-37-76,vasylevychnadiia@example.com
Гунько,Гліб Володимирович,Чоловіча,1939-07-09,Клоун,хутір Кам'янське,"сквер Кавказький, буд. 0 кв. 317, Дрогобич, 18032",469 49 40,ishamrai@example.net
Прокопович,Олександр Іванович,Чоловіча,1973-01-19,Філолог,селище Багачеве,"площа Юрія Олеші, буд. 989 кв. 763, Шепетівка, 36791",397-95-56,serhii30@example.com
Саченко,Віталій Миколайович,Чоловіча,1976-06-05,Піаніст,місто Трускавець,"площа Сегедська, буд. 4 кв. 63, Тиврів, 18832",843 36 30,chornovilleontii@example.com
Чуприна,Аарон Тарасович,Чоловіча,1975-03-20,Хімік,хутір Апостолове,"парк Пересипська 5-та, буд. 05 кв. 81, Соснівка, 08807",+380 20 479-67-93,medvedenkoalbina@example.net
Адамчук,Захар Сергійович,Чоловіча,1962-09-07,Штукатур,селище Мирноград,"шосе Азербайджан, буд. 115, Боково-Хрустальне, 99294",+380 67 069 23 70,zinchukvioletta@example.net
Жайворон,Симон Іванович,Чоловіча,1960-09-16,Зоолог,місто Вознесенськ,"шосе Соляний 2-й, буд. 37 кв. 68, Березань, 35312",+380 61 199-16-58,kovpakliubov@example.net
Козаченко,Демид Степанович,Чоловіча,1990-03-14,Кур'єр,селище Кипуче,"провулок Нерубайська, буд. 1 кв. 535, Черкаси, 83784",284-11-23,xbabak@example.net
Власюк,Аніта Ярославівна,Жіноча,1977-08-21,Гірничий інженер,місто Барвінкове,"парк Херсонський сквер, буд. 991, Надвірна, 21894",+380 82 584 74 53,taras52@example.com
Гаврилишин,Марта Богданівна,Жіноча,1985-06-23,Кінорежисер,хутір Сквира,"вулиця Олександра Ройтбурда, буд. 419, Хотин, 42630",+380 07 558-38-97,mykytaprymachenko@example.com
Туркало,Григорій Володимирович,Чоловіча,1962-05-12,Психолог,селище Жданівка,"набережна Кар’єрна, буд. 7, Дружківка, 68731",072 792 73 42,avhustyn48@example.net
Фаренюк,Світлана Артемівна,Жіноча,1954-10-10,Петрограф,хутір Свалява,"узвіз Товарний, буд. 2, Зугрес, 06627",371 23 18,baidaustym@example.net
Барабаш,Альберт Юрійович,Чоловіча,1939-11-26,Психолог,селище Жовті Води,"провулок Водопровідний 1-й, буд. 38, Новоград-Волинський, 15014",+380 84 619-08-69,ievdokymenkoheorhii@example.net
Бабійчук,Йосип Васильович,Чоловіча,1940-03-13,Паралегал,селище Дніпрорудне,"парк Чорноморський 13-й, буд. 1, Зеленодольськ, 07071",+380 98 434-71-57,oleksandrcherednyk@example.org
Гузь,Віолетта Сергіївна,Жіноча,1946-06-15,Державний службовець,хутір Шахтарськ,"вулиця Лінія 37-ма, буд. 8 кв. 28, Золочів, 52029",+380 41 819-26-98,alla42@example.com
Ващенко,Вікторія Вікторівна,Жіноча,1992-10-31,Фольклорист,хутір Лутугине,"провулок Тупиковий, буд. 64, Радомишль, 53401",014 733-89-55,aaronlemeshko@example.net
Забашта,Захар Степанович,Чоловіча,1955-12-12,Паралегал,місто Миколаївка,"парк Пересипська 8-ма, буд. 14 кв. 637, Хотин, 12623",690 85 93,varfolomiizarudnyi@example.net
Бакуменко,Едита Андріївна,Жіноча,1991-09-25,Астрофізик,село Сіверськ,"парк Наявний 5-й, буд. 981, Богуслав, 22107",236-51-87,mykhailyna19@example.net
Короленко,Пріска Артемівна,Жіноча,1975-06-24,Адвокат,хутір Вільногірськ,"провулок Жевахова, буд. 6, Чорноморськ, 22614",+380 93 515 73 55,kolodubhryhorii@example.com
Баран,Тереза Володимирівна,Жіноча,1980-03-10,Скульптор,хутір Миронівка,"площа Гіацинтовий, буд. 63, Суходільськ, 44779",+380 34 850 52 62,vernydubartem@example.org
Петренко,Максим Юрійович,Чоловіча,1970-11-04,Шериф,місто Валки,"парк Шухевича Романа, буд. 126 кв. 4, Часів Яр, 48761",+380 (02) 678-31-53,oliinykomelian@example.org
Гавриленко,Йосип Ярославович,Чоловіча,1949-02-20,Фрілансер,хутір Кременчук,"шосе Уманська, буд. 4 кв. 08, Чугуїв, 67742",765 62 95,sheremetserhii@example.com
Терещук,Надія Ігорівна,Жіноча,1958-12-06,Футболіст,селище Путивль,"проспект Пересипська 4-та, буд. 89, Кодима, 33395",520 29 96,glahoda@example.com
Василечко,Амалія Андріївна,Жіноча,1973-08-20,Мистецтвознавець,місто Саки,"набережна Дальницьке, буд. 92 кв. 62, Болград, 15535",943-51-88,tetiananosenko@example.net
Коваленко,Левко Миколайович,Чоловіча,1943-06-19,Археолог,місто Носівка,"площа Яблунева, буд. 36, Тростянець, 03999",+380 87 638-02-27,geregatereza@example.org
Сацюк,Аніта Георгіївна,Жіноча,1996-08-24,Випробувач,місто Житомир,"провулок Травневий, буд. 888, Волноваха, 83915",+380 41 581 58 10,orysia86@example.com
Арсенич,Маруся Василівна,Жіноча,1943-04-22,Кінокритик,місто Селидове,"сквер Евлії Челебі, буд. 279, Роздільна, 32902",025 214-97-47,bohdannashvedchenko@example.org
Проценко,Климент Ярославович,Чоловіча,1966-05-30,Громадський діяч,село Харків,"провулок Професора Каришковського, буд. 4, Городенка, 76025",+380 26 566 59 38,ztymchenko@example.org
Зінченко,Тереза Георгіївна,Жіноча,1969-09-15,Фармацевт,місто Снігурівка,"вулиця Шкільний, буд. 71, Середина-Буда, 55622",+380 92 461-33-48,anastasiia72@example.com
Дараган,Демʼян Богданович,Чоловіча,1947-10-04,Конструктор,село Костянтинівка,"провулок Калинова, буд. 3 кв. 494, Липовець, 37345",+380 48 256 12 32,gkhrystenko@example.net
Шовкопляс,Ада Миколаївна,Жіноча,1940-07-07,Єгер,місто Білицьке,"площа Левадна, буд. 539, Борзна, 10021",007 397 80 94,ydarahan@example.com
Масляк,Марко Богданович,Чоловіча,1939-08-23,Науковець,село Городище,"парк Сортувальна 1-ша, буд. 6 кв. 74, Шахтарське, 18035",+380 28 785 44 96,tsymbaliukirena@example.org
Лесик,Марта Сергіївна,Жіноча,1968-10-20,Промисловець,село Тиврів,"вулиця Танфільєва, буд. 891, Таврійськ, 31505",+380 10 749-51-30,mtsarenko@example.org
Бабариченко,Марія Дмитрівна,Жіноча,1945-01-27,Кушнір,місто Нова Одеса,"вулиця Пересипська 10-та, буд. 82 кв. 7, Українка, 95232",049-64-39,serhiizabarnyi@example.net
Носаченко,Мирослав Васильович,Чоловіча,1944-01-01,Прокурор,село Шахтарське,"площа Прилуцький, буд. 999 кв. 1, Вільногірськ, 13916",044 721 87 07,myron65@example.org
Власенко,Йосип Іванович,Чоловіча,1997-07-06,Інженер,село Золоте,"сквер Радіальна, буд. 8 кв. 0, Новий Буг, 01383",+380 (47) 352-16-58,stepan56@example.org
Батюк,Юхим Юрійович,Чоловіча,1970-08-25,Кушнір,місто Старий Самбір,"проспект Павла Клепацького, буд. 215 кв. 60, Зміїв, 87490",+380 37 568-18-11,eduardlevchenko@example.com
Авраменко,Аркадій Васильович,Чоловіча,1992-04-27,Фрілансер,хутір Сквира,"вулиця Гобеленова, буд. 654 кв. 211, Знам'янка, 24463",657 63 11,sofiiashvedchenko@example.org
Литвиненко,Роксолана Василівна,Жіноча,1948-12-19,Режисер,місто Канів,"набережна Павлодарська, буд. 2 кв. 294, Мерефа, 24627",+380 85 803-43-78,kybkalomykolai@example.com
Забарна,Опанас Юрійович,Чоловіча,1997-07-25,Стропальник,село Ізмаїл,"узвіз Українська, буд. 573, Новий Калинів, 34411",+380 06 730-78-88,panteleimon42@example.com
Устенко,Костянтин Павлович,Чоловіча,1998-08-06,Штукатур,село Волноваха,"проспект Станційна 3-тя, буд. 998 кв. 76, Одеса, 22064",+380 42 039-35-02,azarkolisnychenko@example.com
Зубко,Надія Іванівна,Жіноча,1982-12-26,Мовознавець,село Новоукраїнка,"узвіз Спортивна, буд. 435, Болград, 17547",089 105-97-13,bohodartereshchuk@example.com
Бгиденко,Ада Сергіївна,Жіноча,1986-01-08,Математик,хутір Джанкой,"вулиця Заможна, буд. 5 кв. 1, Саки, 39661",+380 78 295 36 25,marusiazhuchenko@example.org
Сиротенко,Орина Артемівна,Жіноча,1952-04-26,Зоолог,село Севастополь,"вулиця Нафтовиків, буд. 1 кв. 3, Ворожба, 98924",+380 78 815-59-79,onysym62@example.org
Гайдамака,Мартин Артемович,Чоловіча,1977-03-03,Геолог,селище Ромни,"сквер Чорноморський, буд. 9 кв. 59, Южне, 48467",722 65 83,nataliia45@example.org
Засенко,Василина Степанівна,Жіноча,1992-12-09,Геофізик,хутір Буськ,"сквер Азербайджан, буд. 7, Новоазовськ, 76163",962 72 17,gatroshchenko@example.org
Скоробогатько,Еріка Олександрівна,Жіноча,2005-05-31,Хореограф,село Великі Мости,"узвіз Тракторна, буд. 0 кв. 5, Балаклія, 47935",029 552 75 82,azar01@example.org
Вернигора,Владислав Вікторович,Чоловіча,1946-07-18,Педагог,хутір Барвінкове,"шосе Вознесенський, буд. 08, Вознесенівка, 12442",+380 68 577-82-88,volodymyrabebeshko@example.org
Корпанюк,Захар Олександрович,Чоловіча,2000-06-24,Астрофізик,селище Міусинськ,"шосе Володимира Терещенка, буд. 8 кв. 6, Святогірськ, 92134",058 228-35-63,prokhirandroshchuk@example.com
Комар,Панас Іванович,Чоловіча,1988-04-24,Адвокат,селище Верхньодніпровськ,"сквер 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 82, Кам'янка-Бузька, 41600",553 53 00,vasyltsisyk@example.net
